developer_id,top_companies_faang,top_company_tier_1,top_company_tier_1_names,top_company_tier_1_2yoe,top_company_tier_2,top_company_tier_2_names,top_company_tier_2_2yoe,top_university_us,top_university_us_names,top_university_whole_list,top_university_whole_list_names
4412406,0,0,,0,0,,0,0,,0,
6371181,0,0,,0,0,,0,0,,0,
1466578,0,0,,0,0,,0,0,,0,
3936656,0,0,,0,0,,0,0,,0,
5572127,0,0,,0,0,,0,0,,0,
1313842,0,0,,0,0,,0,0,,0,
6587695,0,0,,0,0,,0,0,,0,
6391434,0,0,,0,0,,0,0,,0,
4696131,0,1,Huawei,0,0,,0,0,,0,
1632760,0,0,,0,0,,0,0,,0,
4126447,0,0,,0,0,,0,0,,0,
6532937,0,0,,0,0,,0,0,,0,
2439876,0,0,,0,0,,0,0,,0,
6170651,0,0,,0,0,,0,0,,0,
3959088,0,0,,0,0,,0,0,,0,
4931944,0,0,,0,0,,0,0,,0,
3752935,0,0,,0,0,,0,0,,0,
2942745,0,0,,0,0,,0,0,,0,
4704904,0,1,Teradata,0,0,,0,0,,0,
1876351,0,0,,0,0,,0,0,,0,
4524048,0,0,,0,0,,0,0,,0,
6063109,0,0,,0,0,,0,0,,0,
3373925,0,0,,0,0,,0,0,,0,
6584481,0,0,,0,0,,0,0,,0,
6589468,0,0,,0,0,,0,0,,0,
4199117,0,0,,0,0,,0,0,,0,
4062385,0,0,,0,0,,0,0,,0,
6582180,0,0,,0,0,,0,0,,0,
6582396,0,0,,0,0,,0,0,,0,
4820147,0,0,,0,0,,0,0,,0,
123886,0,0,,0,0,,0,0,,0,
6593817,0,0,,0,0,,0,0,,0,
1416464,0,0,,0,0,,0,0,,0,
1564595,0,0,,0,0,,0,0,,0,
4738868,0,0,,0,0,,0,0,,0,
6519713,0,0,,0,0,,0,0,,0,
6582752,0,1,GitHub,0,0,,0,0,,0,
5615865,0,0,,0,0,,0,0,,0,
6515051,0,0,,0,0,,0,0,,0,
5159952,0,0,,0,0,,0,0,,0,
3003288,0,0,,0,0,,0,0,,0,
5206768,0,0,,0,0,,0,0,,0,
5986913,0,0,,0,0,,0,0,,0,
6218145,0,0,,0,0,,0,0,,0,
6588504,0,0,,0,0,,0,0,,0,
1321692,0,0,,0,0,,0,0,,0,
5429121,0,0,,0,0,,0,0,,0,
2291469,0,0,,0,0,,0,0,,0,
5902467,0,0,,0,0,,0,0,,0,
4201221,0,0,,0,0,,0,0,,0,
5865026,0,0,,0,0,,0,0,,0,
1864844,0,0,,0,0,,0,0,,0,
4928772,0,0,,0,0,,0,0,,0,
4916878,0,0,,0,0,,0,0,,0,
5545384,0,0,,0,0,,0,0,,0,
587089,0,0,,0,0,,0,0,,0,
6583470,0,0,,0,0,,0,0,,0,
5718667,0,0,,0,0,,0,0,,0,
83923,0,0,,0,0,,0,0,,0,
4278983,0,0,,0,0,,0,0,,0,
5938217,0,0,,0,0,,0,0,,0,
4576419,0,0,,0,0,,0,0,,0,
4181254,0,0,,0,0,,0,0,,0,
6533805,0,0,,0,0,,0,0,,0,
3121827,0,0,,0,0,,0,0,,0,
75388,0,0,,0,0,,0,0,,0,
4394787,0,0,,0,0,,0,0,,0,
1070029,0,0,,0,0,,0,0,,0,
4292554,0,0,,0,0,,0,0,,0,
4813536,0,0,,0,0,,0,0,,0,
6587607,0,1,Salesforce,1,0,,0,0,,0,
6371188,0,0,,0,0,,0,0,,0,
1438614,0,0,,0,0,,0,0,,0,
5844031,0,0,,0,0,,0,0,,0,
5699460,0,0,,0,0,,0,0,,0,
3128695,0,0,,0,0,,0,0,,0,
5519779,0,0,,0,0,,0,0,,0,
5098160,0,0,,0,0,,0,0,,0,
6602804,0,0,,0,0,,0,0,,0,
2619549,0,0,,0,0,,0,0,,0,
5072458,0,0,,0,0,,0,0,,0,
4641380,0,0,,0,0,,0,0,,0,
4826531,0,0,,0,0,,0,0,,0,
6593073,0,0,,0,0,,0,0,,0,
1499071,0,0,,0,0,,0,0,,0,
5322449,0,0,,0,0,,0,0,,0,
4129486,0,0,,0,0,,0,1,Carnegie Mellon University,1,Carnegie Mellon University
1124410,0,0,,0,0,,0,0,,0,
5694964,0,0,,0,0,,0,0,,0,
4466130,0,0,,0,0,,0,0,,0,
5749996,0,1,HubSpot;Twilio,0,0,,0,0,,0,
5530296,0,0,,0,0,,0,0,,0,
169656,0,0,,0,0,,0,0,,0,
3282983,0,0,,0,0,,0,0,,0,
3200383,0,0,,0,0,,0,0,,0,
4407667,0,0,,0,0,,0,0,,0,
5850990,0,1,Salesforce,0,0,,0,0,,0,
5380802,0,0,,0,0,,0,0,,0,
1460913,0,0,,0,0,,0,0,,0,
6597708,0,0,,0,0,,0,0,,0,
3993763,0,0,,0,0,,0,0,,0,
6607466,0,0,,0,0,,0,0,,0,
3785123,0,0,,0,0,,0,0,,0,
6609959,0,0,,0,0,,0,0,,0,
4869412,0,0,,0,0,,0,0,,0,
1398159,0,0,,0,0,,0,0,,0,
3035633,0,0,,0,0,,0,0,,0,
1112777,1,1,Apple;Amazon,0,0,,0,0,,0,
4157011,0,0,,0,0,,0,0,,0,
4127962,0,0,,0,0,,0,0,,0,
1317115,0,0,,0,0,,0,0,,0,
4531360,0,0,,0,0,,0,0,,0,
2628641,0,0,,0,0,,0,0,,0,
3757914,0,1,DigitalOcean,0,0,,0,0,,0,
5564202,0,0,,0,0,,0,0,,0,
6602027,0,0,,0,0,,0,0,,0,
5773801,0,0,,0,0,,0,0,,0,
1532639,0,1,HashiCorp,0,0,,0,0,,0,
6585140,0,0,,0,0,,0,0,,0,
6583251,0,0,,0,0,,0,0,,0,
6064979,0,0,,0,0,,0,0,,0,
4237876,0,0,,0,0,,0,0,,0,
6609856,0,0,,0,0,,0,0,,0,
6587486,0,0,,0,0,,0,0,,0,
4511209,0,0,,0,0,,0,0,,0,
